Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;700;0.74;283.18;400.75;283.22;404.98;0.57;0.43;0.73;0.27;;24
filler-1_corrected;;0;;1;0;1;1;1;;700;0.64;364.06;561.77;364.11;567.58;0.36;0.64;0.35;0.65;;24
filler-2;;0;;1;0;1;1;1;;287;0.64;305.23;508.41;315.85;523.06;0.54;0.46;0.57;0.43;;10
filler-2_corrected;;0;;1;0;1;1;1;;287;0.52;2289.24;4876.20;2289.44;4876.21;0.40;0.60;0.29;0.71;;10
japanese-translation;;0;;1;1;0;0;1;;60;0.88;107.18;315.28;110.48;332.92;0.85;0.15;0.25;0.75;;2
japanese-translation_corrected;;0;;1;0;0;0;1;;60;0.45;126.40;314.45;128.10;326.42;0.52;0.48;0.13;0.87;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;0;;79;0.01;309.22;247.10;319.32;255.46;0.05;0.95;1.00;0.00;;3
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;0;0;0;;79;1.00;37.10;29.84;37.13;29.86;0.01;0.99;0.99;0.01;;3
20170206-VL-Japan-3d-cell4;;0;;1;0;1;1;0;;168;0.00;276.56;489.49;277.04;489.61;0.01;0.99;1.00;0.00;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;168;0.99;77.00;32.61;77.20;32.64;0.01;0.99;1.00;0.00;;7
