Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;41;1.00;160.75;81.74;167.10;82.73;0.56;0.44;0.00;1.00;;3
filler-1_corrected;;0;;1;1;1;1;0;;41;1.00;183.72;92.75;191.85;93.64;0.68;0.32;0.05;0.95;;3
filler-2;;0;;1;1;0;0;1;;20;1.00;127.07;107.01;127.09;119.41;0.35;0.65;0.35;0.65;;1
filler-2_corrected;;0;;1;1;0;0;1;;20;1.00;147.08;112.02;147.09;123.92;0.45;0.55;0.35;0.65;;1
FULL_BAY_IrishRecipe_cell4;;0;;1;1;1;1;0;;43;1.00;71.16;197.96;71.54;212.04;0.05;0.95;0.49;0.51;;3
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;43;1.00;76.25;185.48;77.24;193.58;0.09;0.91;0.49;0.51;;3
XXX-translation-1;;0;;1;1;0;0;0;;20;1.00;69.05;65.00;80.26;65.02;0.00;1.00;0.90;0.10;;1
XXX-translation-1_corrected;;0;;1;1;0;0;0;;20;1.00;73.66;59.55;85.67;59.56;0.25;0.75;0.95;0.05;;1
3_SHELVES_IrishRecipe_cell4;;0;;1;1;0;0;0;;34;1.00;251.08;51.31;264.20;51.31;0.12;0.88;0.00;1.00;;3
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;34;1.00;272.71;63.79;288.45;63.80;0.15;0.85;0.00;1.00;;3
XXX-translation-2;;0;;1;1;0;1;0;;18;1.00;135.66;123.19;160.12;132.40;0.00;1.00;0.50;0.50;;1
XXX-translation-2_corrected;;0;;1;1;0;1;0;;18;1.00;147.61;133.90;174.91;148.07;0.00;1.00;0.56;0.44;;1
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;1;;1;1;1;1;1;;76;1.00;165.13;106.62;165.24;109.46;0.17;0.83;0.39;0.61;;7
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;76;0.97;182.96;131.05;183.09;133.83;0.22;0.78;0.28;0.72;;7
