Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;1;;1;1;1;1;1;;131;0.87;370.51;1469.18;376.69;1483.67;0.61;0.39;0.66;0.34;;18
prod_cell1_corrected;;1;;1;1;1;1;1;;131;0.81;2730.78;2476.33;2731.88;2572.47;0.41;0.59;0.71;0.29;;18
task2_prod_cell1;;0;;0;1;0;0;0;;6;1.00;183.13;124.37;187.56;132.43;0.67;0.33;1.00;0.00;;1
task2_prod_cell1_corrected;;0;;0;1;1;1;0;;6;0.67;3646.53;858.42;3946.42;942.38;0.50;0.50;1.00;0.00;;1
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;18;0.78;243.24;182.04;247.60;183.06;0.33;0.67;1.00;0.00;;3
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;18;0.67;501.53;374.96;508.02;381.70;0.11;0.89;1.00;0.00;;3
Cell1_21_Light_Fit_Strawberry;;0;;0;1;0;0;0;;6;0.67;236.73;167.63;237.38;170.35;0.50;0.50;1.00;0.00;;1
Cell1_21_Light_Fit_Strawberry_corrected;;0;;0;1;0;0;0;;6;0.83;429.01;115.74;446.07;116.34;0.00;1.00;1.00;0.00;;1
Cell1_11_Light_Fit_vanilla;;0;;0;1;0;0;0;;3;0.67;28.00;129.13;32.09;130.99;0.00;1.00;1.00;0.00;;0
Cell1_11_Light_Fit_vanilla_corrected;;0;;0;1;0;0;0;;3;0.67;427.74;350.69;469.95;394.50;0.33;0.67;1.00;0.00;;0
Cell1_22_Yokids_CherryBerryBase;;0;;0;1;0;0;0;;3;1.00;125.41;61.33;143.14;73.41;1.00;0.00;1.00;0.00;;0
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;0;0;0;0;0;;3;0.33;278.44;49.40;310.61;55.37;0.00;1.00;1.00;0.00;;0
peapodB;;0;;0;1;1;1;1;;7;0.71;369.94;779.57;413.23;815.01;0.57;0.43;0.86;0.14;;1
peapodB_corrected;;0;;0;1;0;0;0;;7;1.00;53.59;30.75;54.88;35.71;0.00;1.00;1.00;0.00;;1
TargetC;;0;;1;0;0;0;0;;11;0.18;196.22;177.34;197.09;183.43;0.36;0.64;1.00;0.00;;1
TargetC_corrected;;0;;1;1;0;0;0;;11;0.91;374.68;94.43;404.86;101.46;0.18;0.82;1.00;0.00;;1
