Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;1225;0.84;303.75;220.58;303.87;220.71;0.57;0.43;0.86;0.14;;41
filler-1_corrected;;0;;1;0;1;1;1;;1225;0.46;348.34;539.29;353.77;546.50;0.45;0.55;0.82;0.18;;41
filler-2;;0;;1;1;1;1;0;;196;0.99;223.91;135.48;224.32;136.66;0.52;0.48;0.93;0.07;;7
filler-2_corrected;;0;;1;0;1;1;0;;196;0.45;290.58;327.77;290.67;329.49;0.40;0.60;0.93;0.07;;7
japanese-translation;;0;;1;1;0;0;0;;55;0.98;144.26;147.07;145.34;147.07;0.75;0.25;0.95;0.05;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;55;0.80;114.11;251.03;114.86;252.00;0.69;0.31;0.95;0.05;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;245;1.00;162.88;82.59;164.67;83.38;0.30;0.70;0.93;0.07;;8
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;245;0.92;4275.12;26598.60;4291.25;26664.01;0.57;0.43;0.35;0.65;;8
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;170;0.99;141.43;124.07;141.50;124.64;0.32;0.68;0.92;0.08;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;170;0.92;421.04;1146.67;424.47;1168.92;0.61;0.39;0.88;0.12;;7
