Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;307;0.93;306.58;226.84;310.78;229.70;0.43;0.57;0.74;0.26;;20
filler-1_corrected;;0;;1;0;1;1;1;;307;0.65;2923.62;943.59;2996.74;946.78;0.37;0.63;0.75;0.25;;20
filler-2;;1;;1;1;1;1;1;;45;1.00;228.05;103.65;232.50;107.57;0.87;0.13;0.82;0.18;;3
filler-2_corrected;;0;;1;0;1;1;1;;45;0.31;1223.23;244.16;1251.63;245.50;0.87;0.13;0.82;0.18;;3
japanese-translation;;0;;1;1;0;0;0;;34;1.00;117.61;115.84;118.15;119.59;1.00;0.00;0.32;0.68;;3
japanese-translation_corrected;;0;;1;0;1;1;1;;34;0.09;25061.90;5200.65;25181.96;5212.67;0.88;0.12;0.41;0.59;;3
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;125;0.81;474.61;148.45;483.89;152.81;0.70;0.30;0.00;1.00;;9
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;125;0.82;376.73;504.27;383.92;514.94;0.86;0.14;0.70;0.30;;9
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;25;0.96;330.36;151.18;330.85;151.19;0.52;0.48;0.12;0.88;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;25;0.84;746.50;119.34;779.75;119.96;1.00;0.00;0.80;0.20;;7
