Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;1;1;0;;381;0.99;159.88;1310.60;161.21;1348.60;0.09;0.91;0.75;0.25;;27
prod_cell1_corrected;;1;;1;1;1;1;1;;381;0.67;2231.31;11646.38;2231.72;11676.91;0.22;0.78;0.64;0.36;;27
task2_prod_cell1;;1;;1;1;1;1;1;;433;1.00;201.40;917.37;202.34;923.80;0.19;0.81;0.86;0.14;;30
task2_prod_cell1_corrected;;0;;1;0;1;1;0;;433;0.52;4315.53;3775.58;4317.05;3776.95;0.31;0.69;0.90;0.10;;30
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;54;0.98;255.24;431.41;256.48;440.08;0.24;0.76;0.98;0.02;;4
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;0;1;1;1;;54;0.22;30866.68;25910.28;31704.00;26305.23;0.41;0.59;0.76;0.24;;4
Cell1_11_Light_Fit_vanilla;;0;;0;1;0;0;0;;5;1.00;110.82;151.17;127.87;154.35;0.00;1.00;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla_corrected;;0;;0;0;1;1;0;;5;0.00;8013.26;6061.26;8558.24;6554.38;0.60;0.40;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;32;0.88;341.93;291.69;383.89;308.41;0.63;0.38;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;0;1;1;0;;32;0.00;725.19;1350.27;790.21;1453.71;0.66;0.34;0.94;0.06;;2
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;42;0.81;304.99;297.93;305.82;315.65;0.14;0.86;1.00;0.00;;3
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;0;1;1;1;;42;0.05;1361.98;3068.07;1373.37;3083.34;0.36;0.64;0.88;0.12;;3
peapodB;;0;;1;1;0;0;0;;80;0.94;236.37;192.56;236.67;194.07;0.13;0.88;1.00;0.00;;7
peapodB_corrected;;0;;1;0;1;1;0;;80;0.06;19631.39;7186.91;19748.51;7210.55;0.58;0.43;0.96;0.04;;7
TargetC;;0;;1;1;0;0;0;;105;0.95;367.76;204.82;368.29;212.57;0.43;0.57;1.00;0.00;;8
TargetC_corrected;;0;;1;0;1;1;0;;105;0.09;10201.54;44127.74;10247.81;44307.77;0.52;0.48;0.93;0.07;;8
