Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;35;0.09;694.93;124.97;730.28;125.02;0.89;0.11;0.00;1.00;;5
filler-1_corrected;;0;;1;1;1;1;0;;35;0.83;1081.80;2257.38;1099.65;2278.37;0.06;0.94;0.94;0.06;;5
filler-2;;0;;1;0;0;0;0;;26;0.00;142.79;27.51;150.22;27.74;1.00;0.00;0.00;1.00;;4
filler-2_corrected;;0;;1;1;0;0;0;;26;1.00;22.64;48.55;23.62;49.76;0.00;1.00;1.00;0.00;;4
japanese-translation;;0;;1;0;0;0;0;;11;0.00;137.89;36.56;138.05;37.57;1.00;0.00;0.00;1.00;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;11;1.00;28.10;60.71;28.77;61.36;0.00;1.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;1;;46;1.00;320.25;77.89;328.59;78.89;0.35;0.65;0.37;0.63;;7
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;46;0.85;1024.33;177.87;1042.69;178.25;0.24;0.76;0.50;0.50;;7
20170206-VL-Japan-3d-cell4;;1;;1;1;0;1;1;;41;0.98;278.19;105.68;278.21;109.96;0.15;0.85;0.54;0.46;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;41;0.68;2881.33;488.35;2951.72;499.65;0.29;0.71;0.59;0.41;;7
