Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;859;0.25;300.10;271.28;301.60;287.62;0.95;0.05;1.00;0.00;;41
filler-1_corrected;;0;;1;0;1;1;0;;859;0.17;234.33;495.81;234.82;554.80;0.80;0.20;0.99;0.01;;41
filler-2;;0;;1;0;0;0;0;;188;0.04;295.61;67.27;308.12;67.27;0.98;0.02;1.00;0.00;;9
filler-2_corrected;;0;;1;0;1;1;0;;188;0.00;218.65;124.79;226.94;124.80;0.57;0.43;1.00;0.00;;9
japanese-translation;;0;;1;0;0;0;0;;29;0.00;119.37;37.34;122.56;38.56;1.00;0.00;1.00;0.00;;2
japanese-translation_corrected;;0;;1;0;0;0;0;;29;0.00;93.99;59.32;96.10;61.40;1.00;0.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;1;;520;0.66;336.45;261.08;339.05;262.88;0.62;0.38;0.12;0.88;;25
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;520;0.86;465.29;147.50;468.20;147.50;0.52;0.48;0.07;0.93;;25
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;139;1.00;69.37;87.03;72.16;87.10;0.29;0.71;0.01;0.99;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;139;1.00;106.62;59.16;107.16;59.16;0.01;0.99;0.00;1.00;;7
