Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;100;0.97;351.57;321.20;357.97;326.51;0.62;0.38;0.76;0.24;;12
filler-1_corrected;;1;;1;1;1;1;1;;100;0.87;567.92;4541.47;568.40;4578.49;0.53;0.47;0.72;0.28;;12
filler-2;;1;;1;1;1;1;1;;134;0.75;464.11;201.86;464.99;202.00;0.34;0.66;0.51;0.49;;16
filler-2_corrected;;1;;1;1;1;1;1;;134;0.93;389.14;243.45;391.72;248.17;0.27;0.73;0.57;0.43;;16
1.reference-lSRP-Right-shelf;;0;;1;0;1;1;1;;190;0.62;558.79;418.43;559.72;451.16;0.55;0.45;0.36;0.64;;23
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;1;;190;0.59;8488.40;19014.46;8515.54;19108.45;0.45;0.55;0.46;0.54;;23
translation-far;;1;;1;1;1;1;1;;16;0.81;344.11;395.44;381.73;409.08;0.50;0.50;0.44;0.56;;2
translation-far_corrected;;1;;1;1;1;1;1;;16;0.75;6683.66;8145.26;7088.39;8752.58;0.50;0.50;0.44;0.56;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;340;0.97;345.06;159.84;345.29;159.92;0.44;0.56;0.65;0.35;;41
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;340;0.93;366.11;185.16;374.24;185.49;0.37;0.63;0.69;0.31;;41
translation-individual;;1;;1;1;1;1;1;;18;0.78;216.82;277.12;238.66;277.64;0.33;0.67;0.67;0.33;;2
translation-individual_corrected;;1;;1;1;1;1;1;;18;0.72;394.67;611.63;441.78;634.77;0.28;0.72;0.67;0.33;;2
1.lSRP-pepper-individual;;1;;1;1;1;1;1;;154;1.00;219.06;121.51;222.76;121.54;0.35;0.65;0.49;0.51;;16
1.lSRP-pepper-individual_corrected;;1;;1;1;1;1;1;;154;0.99;205.98;150.69;206.85;150.84;0.21;0.79;0.58;0.42;;16
1-Shabam-reference-individual;;1;;1;1;1;1;1;;61;0.95;212.19;182.62;215.00;182.79;0.31;0.69;0.70;0.30;;6
1-Shabam-reference-individual_corrected;;1;;1;1;1;1;1;;61;0.89;221.51;270.44;221.67;273.13;0.20;0.80;0.75;0.25;;6
