Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
New_Back_2;;0;;1;0;1;1;0;;103;0,10;360,17;339,84;360,41;340,68;0,97;0,03;0,23;0,77;;7
New_Back_2_corrected;;1;;1;1;1;1;1;;103;0,87;428,21;453,62;429,13;454,91;0,80;0,20;0,64;0,36;;7
New_Back_3;;0;;1;0;1;1;0;;126;0,06;201,24;629,42;201,95;630,30;0,98;0,02;0,39;0,61;;7
New_Back_3_corrected;;1;;1;1;1;1;1;;126;0,75;236,47;850,02;237,71;851,09;0,87;0,13;0,52;0,48;;7
current_front;;0;;1;0;1;1;0;;131;0,62;310,76;335,98;312,06;336,21;0,96;0,04;0,63;0,37;;7
current_front_corrected;;1;;1;1;1;1;1;;131;0,85;341,50;452,88;342,31;453,52;0,56;0,44;0,89;0,11;;7
new_front;;0;;1;0;1;1;0;;120;0,57;228,61;572,92;228,96;579,47;0,96;0,04;0,35;0,65;;7
new_front_corrected;;1;;1;1;1;1;1;;120;0,89;300,55;773,07;300,55;782,52;0,51;0,49;0,46;0,54;;7
New_Back_1;;0;;1;0;1;1;0;;125;0,22;720,50;357,93;739,48;366,80;0,99;0,01;0,15;0,85;;7
New_Back_1_corrected;;1;;1;1;1;1;1;;125;0,82;899,15;507,40;918,46;520,37;0,71;0,29;0,70;0,30;;7
