Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;20;1.00;203.04;95.93;204.80;96.04;0.65;0.35;0.85;0.15;;2
filler-1_corrected;;0;;1;0;1;1;0;;20;0.50;674.48;188.91;684.02;191.59;0.15;0.85;0.90;0.10;;2
filler-2;;1;;1;1;1;1;1;;38;1.00;181.78;154.98;184.73;160.62;0.79;0.21;0.82;0.18;;5
filler-2_corrected;;0;;1;0;1;1;0;;38;0.34;10451.03;1014.63;10529.15;1029.73;0.21;0.79;0.92;0.08;;5
japanese-translation;;0;;1;1;0;0;0;;22;1.00;123.78;112.15;123.79;114.81;0.82;0.18;0.91;0.09;;2
japanese-translation_corrected;;0;;1;0;1;1;0;;22;0.55;340.46;824.56;349.92;843.36;0.00;1.00;0.95;0.05;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;85;1.00;114.70;38.84;114.96;39.65;0.15;0.85;0.00;1.00;;10
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;85;0.73;47508.33;13411.93;47785.18;13491.90;0.16;0.84;0.07;0.93;;10
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;32;0.97;273.36;153.78;284.00;154.31;0.63;0.38;0.03;0.97;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;1;1;1;;32;0.63;11618.51;5229.27;11750.22;5274.25;0.19;0.81;0.16;0.84;;7
