Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;305;0.92;256.77;111.82;272.26;112.26;0.24;0.76;0.36;0.64;;12
filler-1_corrected;;1;;1;1;1;1;1;;305;0.83;335.54;170.44;347.01;172.67;0.35;0.65;0.29;0.71;;12
filler-2;;1;;1;1;1;1;1;;155;0.97;175.71;101.72;177.89;102.22;0.39;0.61;0.52;0.48;;6
filler-2_corrected;;1;;1;1;1;1;1;;155;0.97;249.88;162.06;253.42;162.06;0.50;0.50;0.39;0.61;;6
japanese-translation;;0;;1;1;0;0;0;;40;1.00;96.33;102.83;99.33;104.61;0.10;0.90;0.70;0.30;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;40;1.00;114.24;160.91;116.22;165.50;0.10;0.90;0.68;0.33;;2
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;242;1.00;210.60;121.91;211.15;124.40;0.32;0.68;0.10;0.90;;9
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;0;;242;0.58;280.64;226.72;281.31;227.96;0.29;0.71;0.10;0.90;;9
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;1;;124;0.98;142.05;124.88;142.20;125.87;0.19;0.81;0.43;0.57;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;124;0.94;197.15;218.13;199.52;221.54;0.25;0.75;0.22;0.78;;7
