Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;74;1.00;232.26;85.44;236.58;85.64;0.70;0.30;0.38;0.62;;10
filler-1_corrected;;0;;1;0;1;1;1;;74;0.47;594.01;198.32;594.08;198.80;0.84;0.16;0.11;0.89;;10
filler-2;;0;;1;1;0;0;0;;35;1.00;231.63;65.90;231.68;65.95;0.49;0.51;0.09;0.91;;5
filler-2_corrected;;0;;1;1;1;1;0;;35;0.69;400.66;108.99;401.20;109.38;0.80;0.20;0.00;1.00;;5
japanese-translation;;0;;1;1;0;0;0;;11;1.00;153.11;46.69;159.39;47.09;0.91;0.09;0.00;1.00;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;11;0.82;281.61;47.63;295.62;49.33;1.00;0.00;0.00;1.00;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;29;0.97;167.11;220.17;167.15;225.75;0.93;0.07;0.76;0.24;;4
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;1;;29;0.17;364.66;633.69;408.20;658.24;0.79;0.21;0.76;0.24;;4
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;1;;53;1.00;152.62;56.39;153.09;56.55;0.25;0.75;0.28;0.72;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;53;0.98;246.08;230.73;246.08;230.91;0.79;0.21;0.49;0.51;;7
