Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;85;0.99;238.14;116.44;243.82;116.55;0.64;0.36;0.76;0.24;;13
filler-1_corrected;;0;;1;0;1;1;1;;85;0.49;3911.02;2330.41;3911.07;2330.53;0.54;0.46;0.75;0.25;;13
filler-2;;0;;1;1;0;0;0;;14;0.93;187.24;66.00;203.25;68.33;1.00;0.00;0.43;0.57;;2
filler-2_corrected;;0;;1;0;1;1;1;;14;0.64;5945.78;1741.53;6001.39;1763.36;0.79;0.21;0.64;0.36;;2
japanese-translation;;0;;1;1;0;0;0;;13;1.00;144.89;53.44;145.12;56.05;1.00;0.00;0.92;0.08;;2
japanese-translation_corrected;;0;;1;0;1;1;0;;13;0.08;3381.02;1299.48;3385.60;1299.74;1.00;0.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;0;;99;0.24;436.24;267.62;446.69;314.95;0.96;0.04;0.74;0.26;;16
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;1;;99;0.10;24102.06;1951.17;24446.93;2002.42;0.84;0.16;0.78;0.22;;16
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;46;0.98;254.40;161.39;262.00;162.25;0.17;0.83;0.91;0.09;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;46;0.91;225.31;266.58;235.17;266.77;0.78;0.22;0.78;0.22;;7
