151;0,010;0,001;0,037;0,943;0,002;0,001;0,006;
187;0,002;0,000;0,002;0,993;0,003;0,000;0,000;
227;0,001;0,000;0,003;0,995;0,000;0,000;0,000;
274;0,003;0,000;0,002;0,990;0,003;0,000;0,001;
317;0,001;0,000;0,001;0,996;0,001;0,000;0,000;
346;0,002;0,000;0,007;0,989;0,001;0,000;0,001;
398;0,001;0,000;0,001;0,996;0,001;0,000;0,000;
440;0,006;0,000;0,008;0,983;0,001;0,001;0,001;
471;0,004;0,000;0,003;0,991;0,001;0,000;0,000;
517;0,002;0,000;0,002;0,994;0,001;0,001;0,000;
557;0,005;0,000;0,005;0,987;0,001;0,001;0,001;
588;0,004;0,000;0,007;0,985;0,001;0,002;0,001;
643;0,001;0,000;0,002;0,996;0,001;0,000;0,000;
683;0,003;0,000;0,005;0,989;0,002;0,001;0,001;
718;0,004;0,000;0,003;0,988;0,003;0,001;0,001;
762;0,003;0,000;0,003;0,991;0,001;0,000;0,001;
805;0,008;0,000;0,003;0,977;0,010;0,001;0,001;
837;0,007;0,000;0,004;0,984;0,003;0,001;0,001;
886;0,004;0,000;0,001;0,990;0,003;0,001;0,000;
928;0,009;0,001;0,002;0,980;0,008;0,001;0,001;
960;0,007;0,000;0,004;0,981;0,005;0,001;0,001;
1006;0,035;0,001;0,007;0,937;0,016;0,002;0,003;
1060;0,009;0,000;0,004;0,979;0,005;0,001;0,002;
1094;0,011;0,001;0,002;0,976;0,007;0,001;0,001;
1141;0,007;0,000;0,005;0,979;0,004;0,002;0,002;
1181;0,002;0,000;0,008;0,986;0,001;0,001;0,001;
1214;0,001;0,000;0,005;0,992;0,001;0,000;0,001;
1266;0,004;0,000;0,011;0,981;0,001;0,001;0,002;
1306;0,003;0,000;0,004;0,987;0,004;0,000;0,001;
1338;0,001;0,000;0,002;0,995;0,001;0,000;0,000;
1381;0,004;0,000;0,012;0,978;0,002;0,001;0,002;
1424;0,004;0,000;0,010;0,979;0,002;0,002;0,002;
1466;0,002;0,000;0,004;0,991;0,002;0,000;0,001;
1515;0,011;0,001;0,025;0,954;0,004;0,001;0,004;
1553;0,001;0,000;0,002;0,995;0,001;0,000;0,000;
1585;0,000;0,000;0,001;0,998;0,001;0,000;0,000;
1633;0,002;0,000;0,002;0,993;0,002;0,000;0,000;
1676;0,004;0,000;0,012;0,979;0,002;0,001;0,002;
1709;0,005;0,000;0,016;0,973;0,002;0,001;0,002;
1755;0,009;0,001;0,029;0,954;0,003;0,002;0,003;
1799;0,002;0,000;0,003;0,991;0,003;0,000;0,000;
1831;0,005;0,000;0,010;0,977;0,005;0,001;0,002;
1881;0,012;0,001;0,035;0,942;0,003;0,001;0,006;
1927;0,003;0,000;0,002;0,992;0,002;0,000;0,000;
1967;0,013;0,000;0,004;0,975;0,007;0,000;0,001;
2020;0,009;0,000;0,010;0,975;0,004;0,000;0,001;
2056;0,004;0,000;0,002;0,992;0,002;0,000;0,000;
2088;0,003;0,000;0,001;0,992;0,003;0,000;0,000;
2131;0,006;0,000;0,002;0,988;0,004;0,000;0,001;
2176;0,012;0,000;0,005;0,976;0,004;0,000;0,001;
2208;0,034;0,001;0,007;0,940;0,015;0,001;0,002;
2252;0,012;0,001;0,014;0,964;0,004;0,003;0,003;
2304;0,008;0,000;0,006;0,978;0,005;0,001;0,001;
2338;0,015;0,000;0,008;0,965;0,007;0,002;0,003;
2384;0,007;0,000;0,004;0,984;0,002;0,001;0,001;
2421;0,010;0,000;0,006;0,977;0,003;0,001;0,001;
2452;0,005;0,000;0,004;0,984;0,005;0,001;0,001;
