40;1062;-156
169;1087;-62
290;1076;64
409;1076;26
522;1176;-59
649;1192;-139
762;1251;-96
888;1235;39
1001;1229;-106
1130;1153;-317
1241;1010;-523
1370;1235;-215
1490;1482;92
1610;1714;53
1720;1578;-210
1850;1473;-571
1961;1471;-537
2088;1475;-412
2201;1435;-209
2330;1334;-87
2441;1235;-295
2569;1153;-504
2691;1048;-623
2810;1050;-440
2921;1240;-210
3051;1517;-112
3163;1639;-189
3291;1498;-267
3402;1245;-337
3530;1243;-364
3641;1209;-384
3768;1623;106
3891;1471;196
4009;1576;57
4121;1228;-353
4249;1343;-420
4362;1259;-223
4490;1328;-246
4601;1276;-231
4729;1398;-287
4841;1315;-285
4969;1317;-245
5090;1196;-195
5209;1232;-264
5321;1240;-304
5450;1240;-331
5562;1214;-312
6011;1204;-310
6050;1323;-439
6171;1298;-487
6283;1387;-485
6411;1423;-254
6531;1690;-123
6650;1856;-54
6762;1909;-167
6888;1815;-193
7002;1767;-239
7129;1793;-221
