Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;25;1.00;166.73;54.93;182.35;59.94;0.64;0.36;0.28;0.72;;1
filler-1_corrected;;0;;1;1;1;1;0;;25;0.84;304.60;483.69;320.59;496.31;0.00;1.00;0.00;1.00;;1
filler-2;;0;;1;1;0;0;0;;23;1.00;114.53;53.41;124.84;59.25;0.87;0.13;0.00;1.00;;1
filler-2_corrected;;0;;1;1;1;1;0;;23;0.91;459.38;128.46;474.34;128.50;0.00;1.00;0.09;0.91;;1
FULL_BAY_IrishRecipe_cell4;;0;;1;1;0;0;0;;36;0.78;70.82;36.36;70.88;36.74;1.00;0.00;0.00;1.00;;1
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;0;0;0;;36;0.00;21.38;19.65;21.52;20.11;0.00;1.00;0.00;1.00;;1
XXX-translation-1;;0;;1;1;0;1;0;;40;1.00;194.09;84.88;209.85;92.64;0.75;0.25;0.08;0.93;;1
XXX-translation-1_corrected;;0;;1;1;0;0;0;;40;0.98;89.97;126.69;90.12;127.82;0.03;0.98;0.03;0.98;;1
3_SHELVES_IrishRecipe_cell4;;0;;1;1;0;0;0;;28;1.00;60.73;33.00;61.96;34.06;1.00;0.00;0.00;1.00;;1
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;28;0.96;121.41;32.55;121.53;32.62;0.00;1.00;0.00;1.00;;1
XXX-translation-2;;1;;1;1;1;1;1;;21;1.00;376.81;136.12;443.05;139.64;0.62;0.38;0.33;0.67;;1
XXX-translation-2_corrected;;0;;1;1;0;0;0;;21;0.95;75.85;98.75;77.11;99.13;0.00;1.00;0.05;0.95;;1
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;86;1.00;130.03;70.02;133.18;70.48;0.79;0.21;0.00;1.00;;4
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;86;0.97;38.91;379.82;39.75;389.85;0.00;1.00;0.09;0.91;;4
