Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;627;0.99;251.52;95.67;258.41;95.67;0.39;0.61;0.95;0.05;;21
filler-1_corrected;;0;;1;0;1;1;0;;627;0.33;331.27;236.72;344.41;237.39;0.58;0.42;0.97;0.03;;21
filler-2;;1;;1;1;1;1;1;;221;0.99;193.43;129.90;195.14;131.20;0.21;0.79;0.82;0.18;;7
filler-2_corrected;;0;;1;0;1;1;0;;221;0.53;330.36;336.39;341.90;339.50;0.42;0.58;0.95;0.05;;7
japanese-translation;;0;;1;1;1;1;0;;59;0.97;197.14;87.88;202.69;90.82;0.03;0.97;0.90;0.10;;2
japanese-translation_corrected;;0;;1;0;1;1;0;;59;0.32;278.99;223.70;295.83;232.38;0.71;0.29;0.97;0.03;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;817;1.00;336.86;109.70;337.64;110.12;0.40;0.60;0.92;0.08;;27
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;0;;817;0.40;458.33;279.81;468.09;280.89;0.58;0.42;0.97;0.03;;27
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;146;0.99;135.04;98.94;135.09;98.98;0.38;0.62;0.99;0.01;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;0;0;0;;146;0.03;144.08;234.71;144.21;235.31;0.98;0.02;0.99;0.01;;7
